date,Bleu HC,Bleu HP,Blanc HC,Blanc HP,Rouge HC,Rouge HP,Inconnu,,
2022-08-29 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-08-30 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-08-31 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-09-01 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-09-02 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-09-03 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-09-04 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-09-05 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-09-06 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-09-07 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-09-08 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-09-09 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-09-10 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-09-11 00:00:00 +0200,1907.981,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-09-12 00:00:00 +0200,1912.759,132.465,40.429,1.802,2.911,0.753,1856.046,,
2022-09-13 00:00:00 +0200,1931.285,133.352,40.429,1.802,2.911,0.753,1856.046,,
2022-09-14 00:00:00 +0200,1947.236,134.244,40.429,1.802,2.911,0.753,1856.046,,
2022-09-15 00:00:00 +0200,1947.236,134.244,40.429,1.802,2.911,0.753,1856.046,,
2022-09-16 00:00:00 +0200,1947.886,134.244,40.429,1.802,2.911,0.753,1856.046,,
2022-09-17 00:00:00 +0200,1947.886,134.244,40.429,1.802,2.911,0.753,1856.046,,
2022-09-18 00:00:00 +0200,1947.886,134.244,40.429,1.802,2.911,0.753,1856.046,,
2022-09-19 00:00:00 +0200,1962.96,134.244,40.429,1.802,2.911,0.753,1856.046,,
2022-09-20 00:00:00 +0200,1962.96,134.244,40.429,1.802,2.911,0.753,1856.046,,
2022-09-21 00:00:00 +0200,1962.96,134.244,40.429,1.802,2.911,0.753,1856.046,,
2022-09-22 00:00:00 +0200,1963.031,134.244,40.429,1.802,2.911,0.753,1856.046,,
2022-09-23 00:00:00 +0200,1963.031,134.244,40.429,1.802,2.911,0.753,1856.046,,
2022-09-24 00:00:00 +0200,1963.031,134.244,40.429,1.802,2.911,0.753,1856.046,,
2022-09-25 00:00:00 +0200,1970.397,134.343,40.429,1.802,2.911,0.753,1856.046,,
2022-09-26 00:00:00 +0200,1970.548,134.343,40.429,1.802,2.911,0.753,1856.046,,
2022-09-27 00:00:00 +0200,1970.548,134.343,40.429,1.802,2.911,0.753,1856.046,,
2022-09-28 00:00:00 +0200,1970.548,134.343,40.429,1.802,2.911,0.753,1856.046,4006.832,
2022-09-29 00:00:00 +0200,1970.548,134.343,40.429,1.802,2.911,0.753,1856.046,4006.832,
2022-09-30 00:00:00 +0200,1970.873,134.343,40.429,1.802,2.911,0.753,1856.046,4007.157,
2022-10-01 00:00:00 +0200,1970.873,134.343,40.429,1.802,2.911,0.753,1856.046,4007.157,
2022-10-02 00:00:00 +0200,1970.873,134.343,40.429,1.802,2.911,0.753,1856.046,4007.157,
2022-10-03 00:00:00 +0200,1971.538,134.343,40.429,1.802,2.911,0.753,1856.046,4007.822,
2022-10-04 00:00:00 +0200,1981.161,134.343,40.429,1.802,2.911,0.753,1856.046,4017.445,
2022-10-05 00:00:00 +0200,1981.161,134.343,40.429,1.802,2.911,0.753,1856.046,4017.445,
2022-10-06 00:00:00 +0200,1981.161,134.343,40.429,1.802,2.911,0.753,1856.046,4017.445,
2022-10-07 00:00:00 +0200,1981.296,134.343,40.429,1.802,2.911,0.753,1856.046,4017.58,
2022-10-08 00:00:00 +0200,1981.296,134.343,40.429,1.802,2.911,0.753,1856.046,4017.58,
2022-10-09 00:00:00 +0200,1981.527,134.343,40.429,1.802,2.911,0.753,1856.046,4017.811,
2022-10-10 00:00:00 +0200,1981.527,134.343,40.429,1.802,2.911,0.753,1856.046,4017.811,
2022-10-11 00:00:00 +0200,1989.396,134.343,40.429,1.802,2.911,0.753,1856.046,4025.68,
2022-10-12 00:00:00 +0200,1989.396,134.343,40.429,1.802,2.911,0.753,1856.046,4025.68,
2022-10-13 00:00:00 +0200,1996.318,134.343,40.429,1.802,2.911,0.753,1856.046,4032.602,
2022-10-14 00:00:00 +0200,1996.318,134.343,40.429,1.802,2.911,0.753,1856.046,4032.602,
2022-10-15 00:00:00 +0200,1996.54,134.343,40.429,1.802,2.911,0.753,1856.046,4032.824,
2022-10-16 00:00:01 +0200,1996.54,134.343,40.429,1.802,2.911,0.753,1856.046,4032.824,
2022-10-17 00:00:00 +0200,1996.54,134.343,40.429,1.802,2.911,0.753,1856.046,4032.824,
2022-10-18 00:00:00 +0200,1996.54,134.343,40.429,1.802,2.911,0.753,1856.046,4032.824,
2022-10-19 00:00:00 +0200,1997.107,134.343,40.429,1.802,2.911,0.753,1856.046,4033.391,
2022-10-20 00:00:00 +0200,1997.107,134.343,40.429,1.802,2.911,0.753,1856.046,4033.391,
2022-10-21 00:00:00 +0200,1997.107,134.343,40.429,1.802,2.911,0.753,1856.046,4033.391,
2022-10-22 00:00:00 +0200,1997.107,134.343,40.429,1.802,2.911,0.753,1856.046,4033.391,
2022-10-23 00:00:00 +0200,1997.381,134.343,40.429,1.802,2.911,0.753,1856.046,4033.665,
2022-10-24 00:00:00 +0200,1997.381,134.429,40.429,1.802,2.911,0.753,1856.046,4033.751,
2022-10-25 00:00:00 +0200,2016.516,134.43,40.429,1.802,2.911,0.753,1856.046,4052.887,
2022-10-26 00:00:00 +0200,2016.516,134.43,40.429,1.802,2.911,0.753,1856.046,4052.887,
2022-10-27 00:00:00 +0200,2016.516,134.43,40.429,1.802,2.911,0.753,1856.046,4052.887,
2022-10-28 00:00:00 +0200,2016.516,134.43,40.429,1.802,2.911,0.753,1856.046,4052.887,46.0550000000003
2022-10-29 00:00:00 +0200,2016.516,134.43,40.429,1.802,2.911,0.753,1856.046,4052.887,
2022-10-30 00:00:00 +0200,2016.516,134.43,40.429,1.802,2.911,0.753,1856.046,4052.887,
2022-10-30 20:52:13 +0100,2016.525,134.43,40.429,1.802,2.911,0.753,1856.046,4052.896,
